"skills","skill_count"
"python","38"
"sql","19"
"spark","15"
"tensorflow","14"
"pytorch","13"
"java","11"
"r","11"
"aws","10"
"scala","10"
"excel","6"
"mongodb","6"
"hadoop","6"
"c++","6"
"airflow","5"
"scikit-learn","5"
"kubernetes","4"
"docker","4"
"go","4"
"linux","4"
"flow","3"
"databricks","3"
"c","3"
"azure","3"
"gcp","3"
"javascript","2"
"nosql","2"
"postgresql","2"
"rust","2"
"tableau","2"
"terraform","2"
"typescript","2"
"git","1"
"numpy","1"
"pandas","1"
"plotly","1"
"chef","1"
"julia","1"
"jenkins","1"
"haskell","1"
"react","1"
"ansible","1"
"sap","1"
"golang","1"
"github","1"
"looker","1"
"matlab","1"
"matplotlib","1"
"keras","1"
"mysql","1"
"nltk","1"
